file,kernel,warmth,metric,value,unit
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,FP16 FLOPs,"3,584,000",
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,FP32 FLOPs,"36,230,542",
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,FP64 FLOPs,0,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,Total FLOPs,"39,814,542",
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,FP16 GFLOP/s,31.89,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,FP32 GFLOP/s,322.42,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,FP64 GFLOP/s,0,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,Total GFLOP/s,354.32,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,DRAM rd [GB],0.06005,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,DRAM wr [GB],5.12e-07,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,DRAM total [GB],0.06005,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,DRAM rd BW [GB/s],534.37,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,DRAM wr BW [GB/s],0.004556,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,DRAM total BW [GB/s],534.37,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,L2 hit rate [%],51.19,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,L1 hit rate [%],44.46,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,Global ld insns,"1,755,201",
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,Global st insns,"148,058.00",
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,Shared ld insns,333.00,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,Shared st insns,888.00,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,Total insns,"17,668,311",
